date,symbol,signal,score,entry,exit,sl,tp,outcome,pnl_pct,bars_held
2025-09-03 02:00:00,AUDUSD,SELL,85,0.65181,0.65443,0.65443,0.6499,LOSS,-0.4019,21
2025-09-06 02:00:00,AUDUSD,BUY,85,0.65707,0.65789,0.65435,0.65789,WIN,0.1247,15
2025-09-09 02:00:00,AUDUSD,BUY,85,0.65915,0.66021,0.65744,0.66021,WIN,0.161,10
2025-09-10 02:00:00,AUDUSD,SELL,70,0.6592,0.6608,0.6608,0.65787,LOSS,-0.2429,11
2025-09-11 02:00:00,AUDUSD,BUY,85,0.66278,0.66152,0.66152,0.66508,LOSS,-0.1904,3
2025-09-20 02:00:00,AUDUSD,BUY,70,0.65976,0.65856,0.65856,0.66208,LOSS,-0.1825,8
2025-09-23 02:00:00,AUDUSD,SELL,85,0.65915,0.66036,0.66036,0.65764,LOSS,-0.1831,3
2025-09-24 02:00:00,AUDUSD,BUY,85,0.66015,0.65948,0.65948,0.66247,LOSS,-0.1018,9
2025-09-25 02:00:00,AUDUSD,SELL,70,0.65872,0.65748,0.66102,0.65748,WIN,0.1883,20
2025-09-26 02:00:00,AUDUSD,SELL,85,0.65522,0.65307,0.65654,0.65307,WIN,0.3286,2
2025-09-27 02:00:00,AUDUSD,BUY,70,0.65471,0.65596,0.65339,0.65596,WIN,0.1911,9
2025-09-30 02:00:00,AUDUSD,BUY,85,0.65776,0.65938,0.65663,0.65938,WIN,0.2455,10
2025-10-01 02:00:00,AUDUSD,BUY,85,0.66151,0.6613,0.6613,0.66526,LOSS,-0.0309,5
2025-10-08 03:00:00,AUDUSD,SELL,85,0.65898,0.65758,0.66026,0.65758,WIN,0.2127,9
2025-10-09 03:00:00,AUDUSD,BUY,70,0.65828,0.66008,0.65724,0.66008,WIN,0.2728,9
2025-10-15 04:00:00,AUDUSD,BUY,70,0.64914,0.6519,0.64729,0.6519,WIN,0.4251,11
2025-10-16 04:00:00,AUDUSD,SELL,70,0.65125,0.64992,0.65262,0.64992,WIN,0.204,0
2025-10-17 04:00:00,AUDUSD,SELL,95,0.64931,0.6473,0.65074,0.6473,WIN,0.3086,9
2025-10-24 05:00:00,AUDUSD,BUY,85,0.65181,0.65026,0.65026,0.65288,LOSS,-0.2376,8
2025-10-29 07:00:00,AUDUSD,BUY,85,0.65867,0.65812,0.65812,0.66053,LOSS,-0.0845,4
2025-10-31 07:00:00,AUDUSD,SELL,85,0.65509,0.65335,0.65693,0.65335,WIN,0.2662,40
2025-11-01 07:00:00,AUDUSD,BUY,70,0.65445,0.65589,0.65329,0.65589,WIN,0.2206,7
2025-11-05 09:00:00,AUDUSD,SELL,85,0.64948,0.64716,0.65018,0.64716,WIN,0.3567,3
2025-11-11 11:00:00,AUDUSD,BUY,85,0.65359,0.65274,0.65274,0.65513,LOSS,-0.1306,4
2025-11-12 11:00:00,AUDUSD,SELL,75,0.65303,0.65367,0.65367,0.65119,LOSS,-0.0983,6
2025-11-13 11:00:00,AUDUSD,BUY,95,0.65361,0.65532,0.65314,0.65532,WIN,0.261,0
2025-11-18 11:00:00,AUDUSD,SELL,85,0.64929,0.64771,0.65108,0.64771,WIN,0.2427,4
2025-11-20 11:00:00,AUDUSD,BUY,85,0.649,0.65004,0.64623,0.65004,WIN,0.1602,13
2025-11-24 11:00:00,AUDUSD,BUY,70,0.64619,0.64395,0.64395,0.64847,LOSS,-0.3464,38
2025-11-27 11:00:00,AUDUSD,BUY,85,0.6524,0.65349,0.65062,0.65349,WIN,0.1671,2
2025-12-01 11:00:00,AUDUSD,BUY,85,0.65515,0.65569,0.65289,0.65569,WIN,0.0831,12
2025-12-03 11:00:00,AUDUSD,BUY,85,0.65735,0.65549,0.65549,0.65834,LOSS,-0.2837,0
2025-12-08 11:00:00,AUDUSD,SELL,70,0.66349,0.66443,0.66443,0.6618,LOSS,-0.1414,1
2025-12-18 11:00:00,AUDUSD,SELL,85,0.66008,0.66186,0.66186,0.65888,LOSS,-0.2692,13
2025-12-23 11:00:00,AUDUSD,BUY,85,0.6658,0.66693,0.66504,0.66693,WIN,0.1701,2
2025-12-24 11:00:00,AUDUSD,SELL,70,0.67022,0.67106,0.67106,0.6687,LOSS,-0.1257,1
2026-01-02 11:00:00,AUDUSD,SELL,85,0.66778,0.66839,0.66839,0.66491,LOSS,-0.0914,0
2026-01-07 11:00:00,AUDUSD,BUY,85,0.67352,0.67286,0.67286,0.67544,LOSS,-0.0974,0
2026-01-11 11:00:00,AUDUSD,BUY,85,0.6684,0.66735,0.66735,0.66982,LOSS,-0.1564,19
2026-01-13 11:00:00,AUDUSD,BUY,85,0.67079,0.66984,0.66984,0.67237,LOSS,-0.1423,10
2026-01-18 11:00:00,AUDUSD,BUY,70,0.6682,0.66856,0.668,0.66856,WIN,0.0532,12
2026-01-20 11:00:00,AUDUSD,BUY,85,0.67093,0.67238,0.67058,0.67238,WIN,0.2163,3
2026-01-21 11:00:00,AUDUSD,SELL,70,0.67313,0.67461,0.67461,0.67181,LOSS,-0.2194,6
2026-01-22 11:00:00,AUDUSD,SELL,70,0.67546,0.67712,0.67712,0.67408,LOSS,-0.2463,0
2026-01-23 11:00:00,AUDUSD,BUY,85,0.68399,0.68554,0.68283,0.68554,WIN,0.227,12
2026-01-24 11:00:00,AUDUSD,BUY,85,0.68938,0.69179,0.68759,0.69179,WIN,0.35,42
2026-01-26 11:00:00,AUDUSD,BUY,85,0.69145,0.69121,0.69121,0.69527,LOSS,-0.0352,0
2026-01-28 11:00:00,AUDUSD,BUY,85,0.69967,0.69873,0.69873,0.70384,LOSS,-0.1339,1
2026-01-29 11:00:00,AUDUSD,BUY,85,0.7038,0.70721,0.70138,0.70721,WIN,0.4847,3
2026-01-31 11:00:00,AUDUSD,SELL,85,0.69619,0.69148,0.69988,0.69148,WIN,0.6759,54
2026-02-02 11:00:00,AUDUSD,SELL,85,0.69459,0.69584,0.69584,0.69207,LOSS,-0.1793,0
2026-02-06 11:00:00,AUDUSD,SELL,85,0.69155,0.69551,0.69551,0.68952,LOSS,-0.5724,5
2026-02-07 11:00:00,AUDUSD,BUY,85,0.70123,0.70368,0.69943,0.70368,WIN,0.3488,23
2026-02-10 12:00:00,AUDUSD,BUY,85,0.70801,0.70674,0.70674,0.71061,LOSS,-0.179,5
2026-02-13 12:00:00,AUDUSD,SELL,85,0.70846,0.70571,0.7111,0.70571,WIN,0.3886,5
2026-02-16 12:00:00,AUDUSD,SELL,85,0.70771,0.7081,0.7081,0.70546,LOSS,-0.0555,0
2026-02-18 12:00:00,AUDUSD,BUY,70,0.70777,0.70621,0.70621,0.71092,LOSS,-0.2198,12
2026-02-23 12:00:00,AUDUSD,BUY,85,0.70907,0.71007,0.71007,0.71262,LOSS,0.1406,0
2026-02-26 12:00:00,AUDUSD,BUY,85,0.71279,0.71079,0.71079,0.71368,LOSS,-0.2801,13
2026-03-02 12:00:00,AUDUSD,SELL,85,0.70841,0.70911,0.70911,0.70106,LOSS,-0.0985,0
2026-03-09 12:00:00,AUDUSD,SELL,85,0.69634,0.69869,0.69869,0.69437,LOSS,-0.3378,1
2026-03-10 12:00:00,AUDUSD,BUY,85,0.70698,0.71051,0.70405,0.71051,WIN,0.4993,6
2026-03-11 12:00:00,AUDUSD,BUY,85,0.71303,0.71521,0.70949,0.71521,WIN,0.3053,1
2026-03-13 12:00:00,AUDUSD,SELL,85,0.70842,0.70484,0.70983,0.70484,WIN,0.5053,5
2026-03-14 12:00:00,AUDUSD,SELL,85,0.69688,0.70098,0.70098,0.69457,LOSS,-0.5876,14
