date,symbol,signal,score,entry,exit,sl,tp,outcome,pnl_pct,bars_held
2025-10-10 21:00:00,BTCUSD,SELL,80,114323.97,114906.86,117992.3725,114906.86,WIN,-0.5099,0
2025-10-11 21:00:00,BTCUSD,BUY,80,110377.87,110139.45607,110139.45607,112851.00857,LOSS,-0.216,0
2025-10-13 21:00:00,BTCUSD,SELL,80,115815.99,114215.42,117161.8775,114215.42,WIN,1.382,4
2025-10-15 21:00:00,BTCUSD,SELL,80,111162.86,109620.29286,112591.64786,109620.29286,WIN,1.3877,12
2025-10-16 21:00:00,BTCUSD,SELL,80,107872.76,105711.87857,110147.16857,105711.87857,WIN,2.0032,10
2025-10-17 21:00:00,BTCUSD,BUY,80,107057.43,109020.48714,104581.63464,109020.48714,WIN,1.8336,44
2025-10-19 21:00:00,BTCUSD,BUY,80,108893.14,107876.22143,107876.22143,110378.67143,LOSS,-0.9339,3
2025-10-20 21:00:00,BTCUSD,BUY,80,111128.03,109868.32357,109868.32357,112135.56857,LOSS,-1.1336,4
2025-10-22 21:00:00,BTCUSD,BUY,80,107701.27,109609.73714,106524.64964,109609.73714,WIN,1.772,9
2025-10-23 21:00:00,BTCUSD,BUY,80,109562.01,111942.32714,108976.55464,111942.32714,WIN,2.1726,15
2025-10-26 02:00:00,BTCUSD,SELL,80,111658.0,112189.9825,112189.9825,111143.08,LOSS,-0.4764,7
2025-10-27 02:00:00,BTCUSD,BUY,80,115288.76,116042.80571,113817.51321,116042.80571,WIN,0.654,4
2025-10-29 02:00:00,BTCUSD,SELL,80,112501.18,110712.68,113745.99,110712.68,WIN,1.5898,16
2025-10-30 02:00:00,BTCUSD,SELL,80,110453.18,108570.21,112052.325,108570.21,WIN,1.7048,2
2025-10-31 02:00:00,BTCUSD,BUY,80,109604.62,111209.86857,107867.59857,111209.86857,WIN,1.4646,58
2025-11-04 02:00:00,BTCUSD,BUY,80,107004.28,104836.56714,104836.56714,108568.57714,LOSS,-2.0258,3
2025-11-05 02:00:00,BTCUSD,SELL,80,100742.4,102611.95036,102611.95036,97783.58286,LOSS,-1.8558,10
2025-11-07 02:00:00,BTCUSD,SELL,80,101484.32,99341.27571,102971.20321,99341.27571,WIN,2.1117,10
2025-11-10 02:00:00,BTCUSD,BUY,80,105693.49,104931.695,104931.695,108060.45,LOSS,-0.7208,12
2025-11-11 02:00:00,BTCUSD,SELL,80,106070.49,104674.70714,107185.20964,104674.70714,WIN,1.3159,10
2025-11-12 02:00:00,BTCUSD,SELL,80,103212.24,103857.51429,103857.51429,101464.69429,LOSS,-0.6252,6
2025-11-13 02:00:00,BTCUSD,SELL,80,101987.99,103055.11036,103055.11036,100260.17286,LOSS,-1.0463,3
2025-11-14 02:00:00,BTCUSD,SELL,80,99212.19,96663.05571,100629.08821,96663.05571,WIN,2.5694,4
2025-11-15 02:00:00,BTCUSD,BUY,80,95574.46,93085.74107,93085.74107,97715.67857,LOSS,-2.604,44
2025-11-16 02:00:00,BTCUSD,SELL,80,95207.08,96010.05714,96010.05714,94361.09714,LOSS,-0.8434,3
2025-11-17 02:00:00,BTCUSD,BUY,80,94704.75,93738.20929,93738.20929,97250.48429,LOSS,-1.0206,11
2025-11-18 02:00:00,BTCUSD,SELL,80,91592.67,89863.85714,93700.08964,89863.85714,WIN,1.8875,1
2025-11-21 02:00:00,BTCUSD,SELL,80,86942.08,84763.62143,88987.73393,84763.62143,WIN,2.5056,5
2025-11-24 02:00:00,BTCUSD,SELL,80,87031.23,87831.22143,87831.22143,85197.63143,LOSS,-0.9192,0
2025-11-27 02:00:00,BTCUSD,BUY,80,91134.21,91956.29857,89354.89107,91956.29857,WIN,0.9021,33
2025-12-02 02:00:00,BTCUSD,BUY,80,86449.52,88412.72571,85089.97321,88412.72571,WIN,2.2709,12
2025-12-03 02:00:00,BTCUSD,BUY,80,92268.89,93546.95,90287.8025,93546.95,WIN,1.3851,3
2025-12-04 02:00:00,BTCUSD,SELL,80,93210.0,91388.18143,94341.70643,91388.18143,WIN,1.9545,17
2025-12-05 02:00:00,BTCUSD,SELL,80,92383.04,90817.57571,93443.33571,90817.57571,WIN,1.6945,11
2025-12-06 02:00:00,BTCUSD,SELL,80,89341.04,90885.62571,90885.62571,87484.96571,LOSS,-1.7289,39
2025-12-07 02:00:00,BTCUSD,BUY,80,89306.06,88900.67393,88900.67393,90095.40143,LOSS,-0.4539,11
2025-12-08 02:00:00,BTCUSD,BUY,80,90921.96,92210.29714,88973.69464,92210.29714,WIN,1.417,7
