date,symbol,signal,score,entry,exit,sl,tp,outcome,pnl_pct,bars_held
2025-10-11 02:00:00,ETHUSD,SELL,80,3734.55,4020.685,4020.685,3597.57,LOSS,-7.6618,36
2025-10-13 02:00:00,ETHUSD,BUY,80,4198.93,4282.76857,4029.66857,4282.76857,WIN,1.9967,18
2025-10-14 02:00:00,ETHUSD,BUY,80,4210.31,4155.02536,4155.02536,4356.26286,LOSS,-1.3131,1
2025-10-16 02:00:00,ETHUSD,SELL,80,4010.41,4060.425,4060.425,3876.78,LOSS,-1.2471,8
2025-10-17 02:00:00,ETHUSD,SELL,80,3920.12,3811.32571,4014.03571,3811.32571,WIN,2.7753,4
2025-10-20 02:00:00,ETHUSD,SELL,80,3937.4,3997.06429,3997.06429,3867.06429,LOSS,-1.5153,1
2025-10-23 02:00:00,ETHUSD,BUY,80,3821.04,3916.59286,3736.77536,3916.59286,WIN,2.5007,14
2025-10-27 02:00:00,ETHUSD,BUY,80,4191.3,4241.33,4118.06,4241.33,WIN,1.1937,3
2025-10-29 02:00:00,ETHUSD,SELL,80,3982.99,3877.89714,4045.72714,3877.89714,WIN,2.6385,16
2025-10-30 02:00:00,ETHUSD,SELL,80,3927.55,3812.77143,4005.05893,3812.77143,WIN,2.9224,10
2025-10-31 02:00:00,ETHUSD,BUY,80,3846.75,3758.72929,3758.72929,3928.85429,LOSS,-2.2882,73
2025-11-04 02:00:00,ETHUSD,SELL,80,3643.72,3503.68857,3703.31357,3503.68857,WIN,3.8431,3
2025-11-05 02:00:00,ETHUSD,SELL,80,3244.25,3366.60214,3366.60214,3072.59714,LOSS,-3.7714,11
2025-11-07 02:00:00,ETHUSD,SELL,80,3324.81,3219.44,3403.7325,3219.44,WIN,3.1692,10
2025-11-10 02:00:00,ETHUSD,BUY,80,3628.92,3568.40464,3568.40464,3722.48714,LOSS,-1.6676,12
2025-11-12 02:00:00,ETHUSD,SELL,80,3447.52,3476.67107,3476.67107,3341.07857,LOSS,-0.8456,6
2025-11-13 02:00:00,ETHUSD,SELL,80,3423.85,3482.37179,3482.37179,3317.98429,LOSS,-1.7092,2
2025-11-14 02:00:00,ETHUSD,SELL,80,3208.05,3080.63857,3289.66107,3080.63857,WIN,3.9716,10
2025-11-15 02:00:00,ETHUSD,BUY,80,3174.57,3039.12214,3039.12214,3279.14714,LOSS,-4.2667,39
2025-11-17 02:00:00,ETHUSD,SELL,80,3115.34,3017.33286,3223.98536,3017.33286,WIN,3.146,17
2025-11-18 02:00:00,ETHUSD,SELL,80,3017.59,3120.57536,3120.57536,2916.37286,LOSS,-3.4128,13
2025-11-21 02:00:00,ETHUSD,SELL,80,2861.42,2754.67571,2939.39571,2754.67571,WIN,3.7305,5
2025-11-25 02:00:00,ETHUSD,BUY,80,2919.13,2892.23929,2892.23929,3009.86429,LOSS,-0.9212,6
2025-12-02 02:00:00,ETHUSD,BUY,80,2795.37,2862.79,2745.3125,2862.79,WIN,2.4118,12
2025-12-03 02:00:00,ETHUSD,BUY,80,3015.66,3075.91571,2948.34821,3075.91571,WIN,1.9981,4
2025-12-04 02:00:00,ETHUSD,BUY,80,3203.0,3135.37929,3135.37929,3279.95429,LOSS,-2.1112,15
2025-12-06 02:00:00,ETHUSD,SELL,80,3027.23,2944.46286,3086.06786,2944.46286,WIN,2.7341,36
2025-12-10 02:00:00,ETHUSD,BUY,80,3303.21,3401.85429,3236.10429,3401.85429,WIN,2.9863,16
2025-12-13 02:00:00,ETHUSD,SELL,80,3083.78,3133.65214,3133.65214,3021.71714,LOSS,-1.6172,8
2025-12-15 02:00:00,ETHUSD,SELL,80,3109.24,3124.75643,3124.75643,3016.73143,LOSS,-0.499,0
2025-12-16 02:00:00,ETHUSD,SELL,80,2946.91,3003.18107,3003.18107,2860.86857,LOSS,-1.9095,37
2025-12-17 02:00:00,ETHUSD,BUY,80,2955.3,2895.80429,2895.80429,3021.51429,LOSS,-2.0132,12
2025-12-20 02:00:00,ETHUSD,SELL,80,2976.75,3019.4425,3019.4425,2913.06,LOSS,-1.4342,46
2026-01-02 02:00:00,ETHUSD,BUY,80,3002.17,3026.21143,2988.44393,3026.21143,WIN,0.8008,1
2026-01-03 02:00:00,ETHUSD,BUY,80,3130.87,3086.54143,3086.54143,3189.53143,LOSS,-1.4159,5
2026-01-04 02:00:00,ETHUSD,BUY,80,3148.6,3138.53893,3138.53893,3180.75143,LOSS,-0.3195,0
2026-01-06 02:00:00,ETHUSD,BUY,80,3217.92,3278.34429,3168.68179,3278.34429,WIN,1.8777,12
2026-01-07 02:00:00,ETHUSD,BUY,80,3245.64,3204.54321,3204.54321,3330.04571,LOSS,-1.2662,7
2026-01-08 02:00:00,ETHUSD,SELL,80,3175.61,3116.73429,3211.26179,3116.73429,WIN,1.854,4
2026-01-09 02:00:00,ETHUSD,BUY,80,3105.61,3078.18786,3078.18786,3167.02286,LOSS,-0.883,6
2026-01-13 02:00:00,ETHUSD,SELL,80,3098.53,3146.61786,3146.61786,3058.98286,LOSS,-1.552,7
2026-01-14 02:00:00,ETHUSD,BUY,80,3335.95,3396.19429,3269.17179,3396.19429,WIN,1.8059,14
2026-01-15 02:00:00,ETHUSD,SELL,80,3325.11,3256.96,3385.0775,3256.96,WIN,2.0496,37
2026-01-20 02:00:00,ETHUSD,BUY,80,3192.94,3160.1325,3160.1325,3215.87,LOSS,-1.0275,3
2026-01-21 02:00:00,ETHUSD,SELL,80,2965.22,3012.14536,3012.14536,2891.17286,LOSS,-1.5825,13
2026-01-23 02:00:00,ETHUSD,SELL,80,2968.96,2892.17286,2998.48036,2892.17286,WIN,2.5863,12
2026-01-26 02:00:00,ETHUSD,SELL,80,2883.23,2886.1275,2886.1275,2782.86,LOSS,-0.1005,4
2026-01-27 02:00:00,ETHUSD,BUY,80,2932.62,2978.08571,2876.83821,2978.08571,WIN,1.5503,14
2026-01-28 02:00:00,ETHUSD,BUY,80,3017.61,2973.22071,2973.22071,3091.00571,LOSS,-1.471,24
2026-01-30 02:00:00,ETHUSD,SELL,80,2747.18,2737.94429,2859.66679,2737.94429,WIN,0.3362,0
2026-01-31 02:00:00,ETHUSD,BUY,80,2698.67,2645.64857,2645.64857,2787.30857,LOSS,-1.9647,6
2026-02-01 02:00:00,ETHUSD,SELL,80,2444.51,2329.06857,2543.69107,2329.06857,WIN,4.7225,12
