date,symbol,signal,score,entry,exit,sl,tp,outcome,pnl_pct,bars_held
2025-09-03 15:00:00,EURUSD,BUY,80,1.16314,1.16487,1.16055,1.16487,WIN,0.1486,3
2025-09-09 15:00:00,EURUSD,BUY,80,1.17724,1.17472,1.17472,1.17871,LOSS,-0.214,3
2025-09-10 15:00:00,EURUSD,SELL,80,1.17178,1.16877,1.17308,1.16877,WIN,0.2571,25
2025-09-12 15:00:00,EURUSD,BUY,80,1.17258,1.17421,1.17123,1.17421,WIN,0.139,2
2025-09-16 15:00:00,EURUSD,BUY,80,1.17768,1.17988,1.17654,1.17988,WIN,0.1871,2
2025-09-17 15:00:00,EURUSD,SELL,80,1.18542,1.18709,1.18709,1.18257,LOSS,-0.1407,13
2025-09-18 15:00:00,EURUSD,SELL,80,1.17951,1.18425,1.18425,1.17732,LOSS,-0.4021,4
2025-09-19 15:00:00,EURUSD,SELL,80,1.17738,1.17615,1.17972,1.17615,WIN,0.1046,2
2025-09-22 15:00:00,EURUSD,SELL,80,1.17303,1.17444,1.17444,1.1716,LOSS,-0.12,1
2025-09-23 15:00:00,EURUSD,BUY,80,1.1797,1.17894,1.17894,1.18269,LOSS,-0.0642,2
2025-09-29 15:00:00,EURUSD,BUY,80,1.17267,1.17113,1.17113,1.17435,LOSS,-0.1311,3
2025-10-08 15:00:00,EURUSD,SELL,80,1.16238,1.16409,1.16409,1.1601,LOSS,-0.1472,9
2025-10-13 15:00:00,EURUSD,BUY,80,1.16207,1.15936,1.15936,1.1654,LOSS,-0.2328,4
2025-10-15 15:00:00,EURUSD,BUY,80,1.16226,1.16489,1.16034,1.16489,WIN,0.2267,18
2025-10-16 15:00:00,EURUSD,BUY,80,1.16621,1.16466,1.16466,1.16921,LOSS,-0.1329,3
2025-10-17 15:00:00,EURUSD,BUY,80,1.17094,1.16859,1.16859,1.17307,LOSS,-0.2008,7
2025-10-20 15:00:00,EURUSD,SELL,80,1.16682,1.16431,1.16828,1.16431,WIN,0.2149,13
2025-10-21 15:00:00,EURUSD,SELL,80,1.16345,1.16151,1.16482,1.16151,WIN,0.1666,4
2025-10-23 15:00:00,EURUSD,SELL,95,1.15926,1.16094,1.16094,1.15795,LOSS,-0.1452,9
2025-10-24 15:00:00,EURUSD,BUY,80,1.16092,1.1624,1.15963,1.1624,WIN,0.1275,3
2025-10-27 15:00:00,EURUSD,BUY,80,1.16282,1.1651,1.16164,1.1651,WIN,0.196,8
2025-10-28 15:00:00,EURUSD,BUY,80,1.16603,1.16432,1.16432,1.16704,LOSS,-0.1463,8
2025-10-30 15:00:00,EURUSD,SELL,80,1.16153,1.15863,1.16406,1.15863,WIN,0.2499,8
2025-10-31 15:00:00,EURUSD,SELL,80,1.15668,1.15469,1.15845,1.15469,WIN,0.172,9
2025-11-03 15:00:00,EURUSD,BUY,80,1.15341,1.1515,1.1515,1.15528,LOSS,-0.1654,4
2025-11-14 15:00:00,EURUSD,SELL,80,1.16383,1.16156,1.16515,1.16156,WIN,0.1953,6
2025-11-17 15:00:00,EURUSD,SELL,80,1.15989,1.15816,1.16178,1.15816,WIN,0.1494,30
2025-11-20 15:00:00,EURUSD,SELL,80,1.15139,1.15377,1.15377,1.14969,LOSS,-0.2066,9
2025-11-26 15:00:00,EURUSD,BUY,80,1.15911,1.15588,1.15588,1.16122,LOSS,-0.2787,9
2025-12-03 15:00:00,EURUSD,BUY,80,1.1638,1.16567,1.16243,1.16567,WIN,0.1606,6
2025-12-10 15:00:00,EURUSD,SELL,80,1.16265,1.16366,1.16366,1.1607,LOSS,-0.0867,3
2025-12-11 15:00:00,EURUSD,BUY,80,1.16919,1.17199,1.16749,1.17199,WIN,0.2397,8
2025-12-12 15:00:00,EURUSD,SELL,80,1.1735,1.17535,1.17535,1.17134,LOSS,-0.1577,32
2025-12-15 15:00:00,EURUSD,SELL,80,1.17346,1.17579,1.17579,1.1721,LOSS,-0.1989,8
2025-12-23 15:00:00,EURUSD,BUY,80,1.17764,1.1798,1.1763,1.1798,WIN,0.1838,6
2025-12-24 15:00:00,EURUSD,BUY,80,1.17879,1.17861,1.17861,1.18188,LOSS,-0.0154,4
2025-12-26 15:00:00,EURUSD,BUY,80,1.17851,1.17772,1.17772,1.18141,LOSS,-0.0672,2
2025-12-31 15:00:00,EURUSD,SELL,80,1.17436,1.17252,1.17532,1.17252,WIN,0.1563,4
2026-01-05 15:00:00,EURUSD,SELL,80,1.1676,1.16639,1.1708,1.16639,WIN,0.1039,9
2026-01-07 15:00:00,EURUSD,SELL,80,1.16988,1.16752,1.17121,1.16752,WIN,0.2015,4
2026-01-08 15:00:00,EURUSD,SELL,80,1.16801,1.16655,1.16924,1.16655,WIN,0.1248,9
2026-01-09 15:00:00,EURUSD,BUY,80,1.16563,1.16405,1.16405,1.16736,LOSS,-0.1354,3
2026-01-12 15:00:00,EURUSD,BUY,80,1.16562,1.16796,1.16381,1.16796,WIN,0.201,3
2026-01-14 15:00:00,EURUSD,SELL,80,1.16475,1.16592,1.16592,1.1624,LOSS,-0.1004,8
2026-01-16 15:00:00,EURUSD,BUY,80,1.1612,1.15948,1.15948,1.16286,LOSS,-0.1479,11
2026-01-17 15:00:00,EURUSD,SELL,80,1.15943,1.15745,1.16115,1.15745,WIN,0.1711,37
2026-01-22 15:00:00,EURUSD,SELL,80,1.16891,1.17085,1.17085,1.16562,LOSS,-0.1661,8
2026-01-23 15:00:00,EURUSD,BUY,80,1.1744,1.17316,1.17316,1.17654,LOSS,-0.1053,4
2026-01-24 15:00:00,EURUSD,BUY,80,1.18231,1.18503,1.18034,1.18503,WIN,0.2297,39
2026-01-26 15:00:00,EURUSD,BUY,80,1.18621,1.19099,1.18355,1.19099,WIN,0.4027,32
2026-01-28 15:00:00,EURUSD,BUY,80,1.19973,1.19586,1.19586,1.20495,LOSS,-0.3222,9
2026-01-29 15:00:00,EURUSD,BUY,80,1.19862,1.19392,1.19392,1.20187,LOSS,-0.3917,7
