date,symbol,signal,score,entry,exit,sl,tp,outcome,pnl_pct,bars_held
2025-09-02 13:00:00,GBPUSD,SELL,80,1.35305,1.35216,1.35481,1.35216,WIN,0.0661,2
2025-09-04 13:00:00,GBPUSD,BUY,80,1.34309,1.34204,1.34204,1.34626,LOSS,-0.0782,4
2025-09-08 13:00:00,GBPUSD,SELL,80,1.3506,1.35318,1.35318,1.34615,LOSS,-0.1912,7
2025-09-09 13:00:00,GBPUSD,BUY,80,1.35636,1.35483,1.35483,1.35919,LOSS,-0.1128,9
2025-09-12 13:00:00,GBPUSD,BUY,80,1.35571,1.35368,1.35368,1.35856,LOSS,-0.1497,5
2025-09-19 13:00:00,GBPUSD,SELL,80,1.35433,1.35075,1.35644,1.35075,WIN,0.2643,3
2025-09-22 13:00:00,GBPUSD,BUY,80,1.34588,1.34886,1.34503,1.34886,WIN,0.2214,5
2025-09-23 13:00:00,GBPUSD,BUY,80,1.35089,1.35078,1.35078,1.35447,LOSS,-0.0083,0
2025-10-03 13:00:00,GBPUSD,BUY,80,1.34396,1.34762,1.34232,1.34762,WIN,0.272,11
2025-10-07 13:00:00,GBPUSD,BUY,80,1.3474,1.34649,1.34649,1.35057,LOSS,-0.0674,3
2025-10-08 13:00:00,GBPUSD,SELL,80,1.33989,1.33898,1.34366,1.33898,WIN,0.0682,3
2025-10-10 13:00:00,GBPUSD,SELL,80,1.33014,1.3335,1.3335,1.32657,LOSS,-0.2528,13
2025-10-16 13:00:00,GBPUSD,BUY,80,1.34363,1.3455,1.33997,1.3455,WIN,0.1394,27
2025-10-22 13:00:00,GBPUSD,BUY,80,1.33717,1.33528,1.33528,1.33972,LOSS,-0.1416,4
2025-10-29 14:00:00,GBPUSD,SELL,80,1.3264,1.32361,1.32862,1.32361,WIN,0.2103,2
2025-10-31 14:00:00,GBPUSD,BUY,80,1.31534,1.31277,1.31277,1.31888,LOSS,-0.1954,4
2025-11-04 14:00:00,GBPUSD,SELL,80,1.31254,1.31001,1.31439,1.31001,WIN,0.1928,5
2025-11-05 14:00:00,GBPUSD,SELL,80,1.3018,1.30358,1.30358,1.29904,LOSS,-0.1364,5
2025-11-07 14:00:00,GBPUSD,BUY,80,1.3124,1.3101,1.3101,1.31591,LOSS,-0.175,6
2025-11-10 14:00:00,GBPUSD,SELL,80,1.31491,1.31755,1.31755,1.3119,LOSS,-0.2007,5
2025-11-20 14:00:00,GBPUSD,SELL,80,1.30553,1.30697,1.30697,1.3015,LOSS,-0.1106,5
2025-11-26 14:00:00,GBPUSD,SELL,80,1.31877,1.31364,1.32151,1.31364,WIN,0.389,9
2025-11-27 14:00:00,GBPUSD,BUY,80,1.32508,1.32294,1.32294,1.32924,LOSS,-0.1613,5
2025-12-10 14:00:00,GBPUSD,SELL,80,1.32994,1.33185,1.33185,1.32749,LOSS,-0.1433,4
2025-12-11 14:00:00,GBPUSD,BUY,80,1.33705,1.34155,1.33555,1.34155,WIN,0.3365,11
2025-12-19 14:00:00,GBPUSD,SELL,80,1.33796,1.34106,1.34106,1.33462,LOSS,-0.2319,28
2025-12-23 14:00:00,GBPUSD,BUY,80,1.3483,1.35032,1.34575,1.35032,WIN,0.1497,5
2025-12-24 14:00:00,GBPUSD,BUY,80,1.35275,1.35084,1.35084,1.35574,LOSS,-0.141,5
2025-12-31 14:00:00,GBPUSD,SELL,80,1.34619,1.3439,1.3479,1.3439,WIN,0.1698,5
2026-01-05 14:00:00,GBPUSD,SELL,80,1.34316,1.34638,1.34638,1.34089,LOSS,-0.24,7
2026-01-06 14:00:00,GBPUSD,BUY,80,1.35566,1.35217,1.35217,1.35784,LOSS,-0.2574,8
2026-01-08 14:00:00,GBPUSD,SELL,80,1.34573,1.34358,1.34711,1.34358,WIN,0.1598,5
2026-01-09 14:00:00,GBPUSD,BUY,80,1.34324,1.34107,1.34107,1.3452,LOSS,-0.1614,6
2026-01-12 14:00:00,GBPUSD,BUY,80,1.34234,1.34467,1.3415,1.34467,WIN,0.1738,4
2026-01-14 14:00:00,GBPUSD,SELL,80,1.34358,1.34452,1.34452,1.33938,LOSS,-0.0703,0
2026-01-16 14:00:00,GBPUSD,BUY,80,1.3384,1.34062,1.33605,1.34062,WIN,0.1659,7
2026-01-17 14:00:00,GBPUSD,SELL,80,1.33471,1.33724,1.33724,1.3308,LOSS,-0.1895,0
2026-01-19 14:00:00,GBPUSD,BUY,80,1.3386,1.34367,1.33583,1.34367,WIN,0.3788,24
2026-01-23 14:00:00,GBPUSD,BUY,80,1.34933,1.3532,1.34729,1.3532,WIN,0.2866,6
2026-01-24 14:00:00,GBPUSD,BUY,80,1.36481,1.36121,1.36121,1.36964,LOSS,-0.2641,20
2026-01-26 14:00:00,GBPUSD,BUY,80,1.3669,1.37162,1.36217,1.37162,WIN,0.345,33
2026-01-28 14:00:00,GBPUSD,BUY,80,1.38032,1.37558,1.37558,1.38627,LOSS,-0.3435,12
2026-01-29 14:00:00,GBPUSD,BUY,80,1.38131,1.37663,1.37663,1.38538,LOSS,-0.339,12
2026-01-31 14:00:00,GBPUSD,SELL,80,1.36844,1.37166,1.37166,1.36411,LOSS,-0.235,40
2026-02-01 14:00:00,GBPUSD,SELL,80,1.36901,1.36989,1.36989,1.3676,LOSS,-0.0645,8
2026-02-06 14:00:00,GBPUSD,BUY,80,1.3546,1.35898,1.35014,1.35898,WIN,0.3231,8
2026-02-07 14:00:00,GBPUSD,BUY,80,1.36131,1.35939,1.35939,1.36387,LOSS,-0.141,22
2026-02-10 12:00:00,GBPUSD,BUY,80,1.36799,1.36506,1.36506,1.37255,LOSS,-0.2143,16
2026-02-12 12:00:00,GBPUSD,SELL,80,1.3631,1.36568,1.36568,1.35784,LOSS,-0.189,13
2026-02-13 12:00:00,GBPUSD,SELL,80,1.36211,1.36443,1.36443,1.35845,LOSS,-0.1705,14
2026-02-16 12:00:00,GBPUSD,SELL,80,1.3641,1.36579,1.36579,1.36305,LOSS,-0.1242,7
2026-02-17 12:00:00,GBPUSD,SELL,80,1.36203,1.36118,1.36389,1.36118,WIN,0.0624,2
2026-02-18 12:00:00,GBPUSD,BUY,80,1.35618,1.35357,1.35357,1.36003,LOSS,-0.1922,13
2026-02-19 12:00:00,GBPUSD,SELL,80,1.34901,1.34638,1.35189,1.34638,WIN,0.1947,11
2026-02-20 12:00:00,GBPUSD,BUY,80,1.34609,1.34961,1.34336,1.34961,WIN,0.2613,14
2026-02-21 12:00:00,GBPUSD,BUY,80,1.34799,1.35178,1.34534,1.35178,WIN,0.2808,46
2026-02-22 12:00:00,GBPUSD,BUY,80,1.34864,1.34884,1.34884,1.34966,LOSS,0.0146,0
2026-02-23 12:00:00,GBPUSD,BUY,80,1.35263,1.35159,1.35159,1.35548,LOSS,-0.0767,2
2026-02-26 12:00:00,GBPUSD,BUY,80,1.35632,1.35375,1.35375,1.35855,LOSS,-0.1894,7
2026-02-27 12:00:00,GBPUSD,SELL,80,1.34868,1.34488,1.35225,1.34488,WIN,0.2819,12
2026-03-02 12:00:00,GBPUSD,SELL,80,1.3432,1.3441,1.3441,1.336,LOSS,-0.0673,0
2026-03-07 12:00:00,GBPUSD,BUY,80,1.34171,1.33687,1.33687,1.34639,LOSS,-0.3607,41
2026-03-09 12:00:00,GBPUSD,SELL,80,1.33006,1.33309,1.33309,1.32691,LOSS,-0.2275,4
2026-03-12 12:00:00,GBPUSD,SELL,80,1.33859,1.33403,1.34126,1.33403,WIN,0.3409,14
2026-03-14 12:00:00,GBPUSD,SELL,80,1.32371,1.32504,1.32504,1.31665,LOSS,-0.1002,14
2026-03-16 12:00:00,GBPUSD,BUY,80,1.32637,1.32972,1.32095,1.32972,WIN,0.2527,12
2026-03-17 12:00:00,GBPUSD,BUY,80,1.33033,1.32888,1.32888,1.33469,LOSS,-0.1091,4
2026-03-18 12:00:00,GBPUSD,BUY,80,1.33521,1.33381,1.33381,1.33852,LOSS,-0.1046,11
2026-03-19 12:00:00,GBPUSD,SELL,80,1.32832,1.32993,1.32993,1.32192,LOSS,-0.1215,11
2026-03-20 12:00:00,GBPUSD,BUY,80,1.34239,1.33821,1.33821,1.34827,LOSS,-0.3114,9
2026-03-23 12:00:00,GBPUSD,SELL,80,1.33204,1.33069,1.33525,1.33069,WIN,0.101,4
2026-03-24 12:00:00,GBPUSD,BUY,80,1.34031,1.33565,1.33565,1.35168,LOSS,-0.3479,16
2026-03-25 12:00:00,GBPUSD,BUY,80,1.34305,1.33812,1.33812,1.34626,LOSS,-0.3667,4
2026-03-28 12:00:00,GBPUSD,SELL,80,1.32651,1.32911,1.32911,1.32246,LOSS,-0.1958,12
2026-03-29 12:00:00,GBPUSD,SELL,80,1.32653,1.32961,1.32961,1.32336,LOSS,-0.2318,4
2026-03-31 12:00:00,GBPUSD,SELL,80,1.32002,1.31965,1.31965,1.3138,LOSS,0.0282,0
2026-04-04 12:00:00,GBPUSD,SELL,80,1.31942,1.32151,1.32151,1.3178,LOSS,-0.1582,16
2026-04-08 12:00:00,GBPUSD,BUY,80,1.34048,1.34374,1.33527,1.34374,WIN,0.2433,3
2026-04-10 12:00:00,GBPUSD,SELL,80,1.34292,1.34499,1.34499,1.33908,LOSS,-0.1543,10
2026-04-11 12:00:00,GBPUSD,SELL,80,1.34524,1.34269,1.34724,1.34269,WIN,0.1895,41
2026-04-12 12:00:00,GBPUSD,SELL,80,1.34589,1.34634,1.34634,1.34529,LOSS,-0.0336,15
2026-04-13 12:00:00,GBPUSD,SELL,80,1.34036,1.34289,1.34289,1.33624,LOSS,-0.1888,5
2026-04-14 12:00:00,GBPUSD,BUY,80,1.3506,1.35445,1.34903,1.35445,WIN,0.2848,7
2026-04-16 12:00:00,GBPUSD,SELL,80,1.3569,1.35888,1.35888,1.35547,LOSS,-0.146,1
2026-04-17 12:00:00,GBPUSD,SELL,80,1.35172,1.35399,1.35399,1.34965,LOSS,-0.1678,10
2026-04-20 12:00:00,GBPUSD,SELL,80,1.34989,1.35198,1.35198,1.3464,LOSS,-0.1549,9
2026-04-21 12:00:00,GBPUSD,BUY,80,1.35249,1.35069,1.35069,1.35487,LOSS,-0.1334,6
2026-04-24 12:00:00,GBPUSD,SELL,80,1.34719,1.3493,1.3493,1.34356,LOSS,-0.1569,9
2026-04-25 12:00:00,GBPUSD,BUY,80,1.35325,1.3512,1.3512,1.35593,LOSS,-0.1512,36
2026-05-01 12:00:00,GBPUSD,BUY,80,1.36064,1.3641,1.35784,1.3641,WIN,0.2541,10
2026-05-04 12:00:00,GBPUSD,BUY,80,1.35846,1.35625,1.35625,1.36181,LOSS,-0.163,6
