date,symbol,signal,score,entry,exit,sl,tp,outcome,pnl_pct,bars_held
2025-10-10 21:00:00,SOLUSD,SELL,80,197.12,198.77,210.3025,198.77,WIN,-0.8371,0
2025-10-11 21:00:00,SOLUSD,BUY,80,175.75,172.84893,172.84893,184.33143,LOSS,-1.6507,0
2025-10-13 21:00:00,SOLUSD,BUY,80,208.76,201.6525,201.6525,214.83,LOSS,-3.4046,7
2025-10-16 21:00:00,SOLUSD,SELL,80,182.85,176.93,191.315,176.93,WIN,3.2376,11
2025-10-17 21:00:00,SOLUSD,BUY,80,183.73,189.85286,176.09286,189.85286,WIN,3.3325,37
2025-10-22 21:00:00,SOLUSD,SELL,80,180.17,184.24714,184.24714,174.82714,LOSS,-2.2629,7
2025-10-23 21:00:00,SOLUSD,BUY,80,188.86,195.78857,187.82857,195.78857,WIN,3.6686,15
2025-10-27 02:00:00,SOLUSD,BUY,80,204.39,200.55071,200.55071,206.89571,LOSS,-1.8784,6
2025-10-29 02:00:00,SOLUSD,SELL,80,194.22,198.06,198.06,188.19,LOSS,-1.9771,9
2025-10-30 02:00:00,SOLUSD,SELL,80,195.54,188.11143,199.62393,188.11143,WIN,3.799,10
2025-10-31 02:00:00,SOLUSD,BUY,80,186.24,181.07714,181.07714,191.32714,LOSS,-2.7722,73
2025-11-04 02:00:00,SOLUSD,SELL,80,167.8,160.29429,171.18929,160.29429,WIN,4.473,3
2025-11-05 02:00:00,SOLUSD,SELL,80,152.62,159.465,159.465,145.08,LOSS,-4.485,11
2025-11-07 02:00:00,SOLUSD,SELL,80,156.94,150.29,161.4725,150.29,WIN,4.2373,12
2025-11-10 02:00:00,SOLUSD,BUY,80,167.05,163.95929,163.95929,172.17429,LOSS,-1.8502,28
2025-11-12 02:00:00,SOLUSD,SELL,80,155.36,156.53464,156.53464,149.68714,LOSS,-0.7561,6
2025-11-13 02:00:00,SOLUSD,SELL,80,152.71,156.44143,156.44143,148.41143,LOSS,-2.4435,3
2025-11-14 02:00:00,SOLUSD,SELL,80,143.63,137.5,147.5275,137.5,WIN,4.2679,10
2025-11-16 02:00:00,SOLUSD,SELL,80,138.69,141.2975,141.2975,136.31,LOSS,-1.8801,1
2025-11-17 02:00:00,SOLUSD,BUY,80,138.19,135.41,135.41,144.02,LOSS,-2.0117,14
2025-11-18 02:00:00,SOLUSD,SELL,80,131.8,135.34179,135.34179,125.51429,LOSS,-2.6872,2
2025-11-19 02:00:00,SOLUSD,BUY,80,140.32,138.04286,138.04286,145.15286,LOSS,-1.6228,3
2025-11-20 02:00:00,SOLUSD,BUY,80,139.55,142.33429,134.03179,142.33429,WIN,1.9952,0
2025-11-24 02:00:00,SOLUSD,SELL,80,131.45,133.31786,133.31786,127.37286,LOSS,-1.421,0
2025-11-25 02:00:00,SOLUSD,BUY,80,137.78,135.70643,135.70643,141.99143,LOSS,-1.505,6
2025-11-27 02:00:00,SOLUSD,BUY,80,143.26,140.03607,140.03607,146.50857,LOSS,-2.2504,23
2025-11-30 02:00:00,SOLUSD,BUY,80,136.33,137.83714,134.62214,137.83714,WIN,1.1055,11
2025-12-03 02:00:00,SOLUSD,BUY,80,138.89,142.06714,135.29964,142.06714,WIN,2.2875,2
2025-12-04 02:00:00,SOLUSD,BUY,80,144.21,142.13179,142.13179,148.96429,LOSS,-1.4411,11
2025-12-05 02:00:00,SOLUSD,SELL,80,139.83,136.06429,141.69179,136.06429,WIN,2.6931,11
2025-12-07 02:00:00,SOLUSD,BUY,80,132.33,131.13214,131.13214,134.06714,LOSS,-0.9052,12
2025-12-08 02:00:00,SOLUSD,SELL,80,133.37,134.83679,134.83679,127.35429,LOSS,-1.0998,2
2025-12-10 02:00:00,SOLUSD,BUY,80,137.87,141.88429,133.86179,141.88429,WIN,2.9116,18
2025-12-15 02:00:00,SOLUSD,SELL,80,131.19,131.89857,131.89857,127.81857,LOSS,-0.5401,0
2025-12-30 02:00:00,SOLUSD,SELL,80,123.04,124.41357,124.41357,120.99857,LOSS,-1.1164,6
2026-01-03 02:00:00,SOLUSD,BUY,80,132.6,130.24964,130.24964,135.47714,LOSS,-1.7725,5
2026-01-04 02:00:00,SOLUSD,BUY,80,133.91,133.34,133.34,136.07,LOSS,-0.4257,6
2026-01-05 02:00:00,SOLUSD,SELL,80,136.7,136.85714,136.85714,133.59714,LOSS,-0.115,0
2026-01-12 02:00:00,SOLUSD,BUY,80,140.86,144.10286,138.84786,144.10286,WIN,2.3022,1
2026-01-14 02:00:00,SOLUSD,BUY,80,145.6,142.17286,142.17286,148.72286,LOSS,-2.3538,37
2026-01-15 02:00:00,SOLUSD,SELL,80,145.14,142.90857,148.38857,142.90857,WIN,1.5374,13
