date,symbol,signal,score,entry,exit,sl,tp,outcome,pnl_pct,bars_held
2025-09-09 11:00:00,USDJPY,SELL,80,147.343,146.98714,147.65364,146.98714,WIN,0.2415,4
2025-09-17 13:00:00,USDJPY,BUY,80,146.534,146.17796,146.17796,146.91771,LOSS,-0.243,15
2025-09-22 15:00:00,USDJPY,BUY,80,148.28101,148.10181,148.10181,148.63657,LOSS,-0.1209,1
2025-09-26 15:00:00,USDJPY,SELL,80,149.63901,149.34386,149.9671,149.34386,WIN,0.1972,16
2025-09-30 17:00:00,USDJPY,BUY,80,148.062,148.04918,148.04918,148.59943,LOSS,-0.0087,0
2025-10-01 17:00:00,USDJPY,SELL,80,147.23,147.14772,147.80271,147.14772,WIN,0.0559,0
2025-10-03 17:00:00,USDJPY,BUY,80,147.60001,147.52789,147.52789,148.12314,LOSS,-0.0489,0
2025-10-06 20:00:00,USDJPY,BUY,80,150.36301,150.793,149.44899,150.793,WIN,0.286,23
2025-10-15 22:00:00,USDJPY,SELL,80,151.362,151.68904,151.68904,150.88629,LOSS,-0.2161,2
2025-10-17 22:00:00,USDJPY,SELL,80,149.925,150.04747,150.04747,149.15972,LOSS,-0.0817,0
2025-10-24 00:00:00,USDJPY,BUY,80,152.53,153.05256,152.37608,153.05256,WIN,0.3426,17
2025-10-29 03:00:00,USDJPY,BUY,80,152.136,151.59031,151.59031,152.51356,LOSS,-0.3587,8
2025-10-31 03:00:00,USDJPY,BUY,80,154.168,153.734,153.734,155.022,LOSS,-0.2815,9
2025-11-05 05:00:00,USDJPY,SELL,80,153.58501,153.03328,153.93579,153.03328,WIN,0.3592,7
2025-11-11 07:00:00,USDJPY,SELL,80,154.049,154.22185,154.22185,153.67386,LOSS,-0.1122,4
2025-11-18 09:00:00,USDJPY,BUY,80,155.23199,154.99983,154.99983,155.52058,LOSS,-0.1496,6
2025-11-20 09:00:00,USDJPY,BUY,80,157.13901,157.45244,156.59418,157.45244,WIN,0.1995,4
2025-11-24 11:00:00,USDJPY,SELL,80,156.67799,156.84461,156.84461,155.78385,LOSS,-0.1063,7
2025-11-26 11:00:00,USDJPY,SELL,80,156.22415,156.40286,156.40286,155.57417,LOSS,-0.1144,7
2025-12-04 11:00:00,USDJPY,SELL,80,155.11249,155.43967,155.43967,154.8988,LOSS,-0.2109,3
2025-12-09 11:00:00,USDJPY,BUY,80,155.86141,156.2133,155.69694,156.2133,WIN,0.2258,8
2025-12-10 11:00:00,USDJPY,BUY,80,156.83245,156.57671,156.57671,157.18878,LOSS,-0.1631,3
2025-12-12 11:00:00,USDJPY,BUY,80,155.52964,155.93684,155.24373,155.93684,WIN,0.2618,10
2025-12-18 11:00:00,USDJPY,BUY,80,155.49268,155.90927,155.41143,155.90927,WIN,0.2679,6
2025-12-22 11:00:00,USDJPY,BUY,80,157.66037,157.19341,157.19341,157.87582,LOSS,-0.2962,13
2025-12-29 11:00:00,USDJPY,BUY,80,156.50433,156.30011,156.30011,156.79718,LOSS,-0.1305,0
2025-12-30 11:00:00,USDJPY,SELL,80,156.04003,156.3003,156.3003,155.73171,LOSS,-0.1668,0
2026-01-02 11:00:00,USDJPY,SELL,80,156.74719,156.98167,156.98167,156.48801,LOSS,-0.1496,6
2026-01-06 11:00:00,USDJPY,SELL,80,156.64748,156.8121,156.8121,156.10053,LOSS,-0.1051,49
2026-01-14 11:00:00,USDJPY,SELL,80,159.1966,159.37101,159.37101,158.83369,LOSS,-0.1096,1
2026-01-15 11:00:00,USDJPY,SELL,80,158.42103,158.63672,158.63672,157.83251,LOSS,-0.1362,3
2026-01-24 11:00:00,USDJPY,SELL,80,155.66086,156.27612,156.27612,154.82724,LOSS,-0.3953,0
2026-01-26 11:00:00,USDJPY,SELL,80,155.18131,155.18425,155.18425,153.77833,LOSS,-0.0019,0
2026-01-28 11:00:00,USDJPY,SELL,80,152.46261,152.99057,152.99057,151.38101,LOSS,-0.3463,1
2026-01-31 11:00:00,USDJPY,BUY,80,154.72303,154.28036,154.28036,155.30184,LOSS,-0.2861,42
2026-02-03 11:00:00,USDJPY,BUY,80,155.48588,155.95475,155.26382,155.95475,WIN,0.3015,11
2026-02-04 11:00:00,USDJPY,SELL,80,155.80548,155.99985,155.99985,155.45185,LOSS,-0.1247,0
2026-02-05 11:00:00,USDJPY,SELL,80,156.91156,157.108,157.108,156.47508,LOSS,-0.1252,7
2026-02-10 12:00:00,USDJPY,BUY,80,156.03953,155.74908,155.74908,156.66565,LOSS,-0.1861,0
2026-02-18 12:00:00,USDJPY,SELL,80,153.24082,153.44736,153.44736,152.73766,LOSS,-0.1348,0
2026-02-19 12:00:00,USDJPY,BUY,80,154.73481,155.133,154.3819,155.133,WIN,0.2573,2
2026-02-20 12:00:00,USDJPY,SELL,80,155.09145,155.4953,155.4953,154.77471,LOSS,-0.2604,6
2026-03-05 12:00:00,USDJPY,SELL,80,156.59125,156.59201,157.29537,156.59201,WIN,-0.0005,0
2026-03-09 12:00:00,USDJPY,BUY,80,158.66332,158.71523,158.20103,158.71523,WIN,0.0327,0
2026-03-13 12:00:00,USDJPY,BUY,80,159.1091,159.5642,158.96285,159.5642,WIN,0.286,3
2026-03-14 12:00:00,USDJPY,BUY,80,159.73055,160.07835,159.47788,160.07835,WIN,0.2177,37
2026-03-16 12:00:00,USDJPY,SELL,80,159.30542,159.17576,159.8768,159.17576,WIN,0.0814,10
