date,symbol,signal,score,entry,exit,sl,tp,outcome,pnl_pct,bars_held
2025-09-24 03:00:00,XAUUSD,BUY,70,3785.29,3766.75643,3766.75643,3809.65143,LOSS,-0.4896,2
2025-09-26 03:00:00,XAUUSD,SELL,80,3739.48,3760.16464,3760.16464,3717.05714,LOSS,-0.5531,1
2025-09-27 03:00:00,XAUUSD,BUY,60,3780.13,3772.74179,3772.74179,3808.34429,LOSS,-0.1954,3
2025-09-29 10:00:00,XAUUSD,SELL,50,3775.99,3785.37607,3785.37607,3764.33857,LOSS,-0.2486,0
2025-09-30 10:00:00,XAUUSD,BUY,70,3847.63,3869.04286,3827.86036,3869.04286,WIN,0.5565,3
2025-10-01 10:00:00,XAUUSD,BUY,80,3875.75,3901.91429,3848.91679,3901.91429,WIN,0.6751,8
2025-10-03 10:00:00,XAUUSD,SELL,60,3865.38,3882.26929,3882.26929,3830.77429,LOSS,-0.4369,13
2025-10-04 10:00:00,XAUUSD,BUY,60,3883.57,3897.67,3866.45,3897.67,WIN,0.3631,0
2025-10-06 18:00:00,XAUUSD,BUY,80,3939.83,3959.41,3925.145,3959.41,WIN,0.497,7
2025-10-07 18:00:00,XAUUSD,BUY,70,3965.31,3959.22107,3959.22107,3996.87857,LOSS,-0.1536,0
2025-10-08 18:00:00,XAUUSD,BUY,80,4040.16,4058.28143,4022.82393,4058.28143,WIN,0.4485,2
2025-10-09 18:00:00,XAUUSD,BUY,70,4046.2,4034.57429,4034.57429,4093.85429,LOSS,-0.2873,7
2025-10-10 18:00:00,XAUUSD,BUY,80,3975.38,4019.70714,3950.25464,4019.70714,WIN,1.115,8
2025-10-11 18:00:00,XAUUSD,BUY,80,3988.61,4088.94714,3898.79714,4088.94714,WIN,2.5156,20
2025-10-14 02:00:00,XAUUSD,BUY,60,4105.56,4130.07857,4080.55607,4130.07857,WIN,0.5972,8
2025-10-16 02:00:00,XAUUSD,SELL,50,4219.47,4238.2125,4238.2125,4175.02,LOSS,-0.4442,6
