date,symbol,signal,score,entry,exit,sl,tp,outcome,pnl_pct,bars_held
2025-10-12 02:00:00,XRPUSD,SELL,80,2.32743,2.40846,2.40846,2.25367,LOSS,-3.4815,8
2025-10-13 02:00:00,XRPUSD,BUY,80,2.54948,2.62158,2.45911,2.62158,WIN,2.8282,5
2025-10-16 02:00:00,XRPUSD,SELL,80,2.42477,2.45412,2.45412,2.34343,LOSS,-1.2105,9
2025-10-17 02:00:00,XRPUSD,SELL,80,2.35712,2.26222,2.39565,2.26222,WIN,4.0259,5
2025-10-21 02:00:00,XRPUSD,SELL,80,2.46825,2.43104,2.52689,2.43104,WIN,1.5075,2
2025-10-23 02:00:00,XRPUSD,SELL,80,2.3706,2.4088,2.4088,2.31094,LOSS,-1.6114,4
2025-10-25 02:00:00,XRPUSD,BUY,80,2.54532,2.57687,2.48592,2.57687,WIN,1.2395,10
2025-10-26 02:00:00,XRPUSD,SELL,80,2.61713,2.65546,2.65546,2.56854,LOSS,-1.4648,7
2025-10-27 02:00:00,XRPUSD,SELL,80,2.65885,2.60832,2.67823,2.60832,WIN,1.9005,7
2025-10-30 02:00:00,XRPUSD,SELL,80,2.57873,2.48832,2.61969,2.48832,WIN,3.5058,2
2025-10-31 02:00:00,XRPUSD,BUY,80,2.48091,2.52753,2.40857,2.52753,WIN,1.8791,10
2025-11-04 02:00:00,XRPUSD,SELL,80,2.34126,2.25219,2.40043,2.25219,WIN,3.8042,3
2025-11-05 02:00:00,XRPUSD,SELL,80,2.17134,2.26001,2.26001,2.06051,LOSS,-4.0836,3
2025-11-06 02:00:00,XRPUSD,BUY,80,2.33971,2.40993,2.29681,2.40993,WIN,3.0014,0
2025-11-07 02:00:00,XRPUSD,SELL,80,2.21865,2.15677,2.2683,2.15677,WIN,2.789,10
2025-11-10 02:00:00,XRPUSD,BUY,80,2.39931,2.47907,2.36872,2.47907,WIN,3.3241,5
2025-11-12 02:00:00,XRPUSD,SELL,80,2.40586,2.422,2.422,2.3348,LOSS,-0.6711,7
2025-11-13 02:00:00,XRPUSD,BUY,80,2.405,2.4542,2.34527,2.4542,WIN,2.0456,1
2025-11-15 02:00:00,XRPUSD,SELL,80,2.28039,2.17964,2.33662,2.17964,WIN,4.4182,38
2025-11-16 02:00:00,XRPUSD,SELL,80,2.21073,2.25072,2.25072,2.17402,LOSS,-1.8091,0
2025-11-17 02:00:00,XRPUSD,BUY,80,2.22795,2.18377,2.18377,2.31908,LOSS,-1.9831,14
2025-11-18 02:00:00,XRPUSD,SELL,80,2.14333,2.21792,2.21792,2.06532,LOSS,-3.4802,13
2025-11-20 02:00:00,XRPUSD,BUY,80,2.12717,2.06423,2.06423,2.17457,LOSS,-2.9588,14
2025-11-21 02:00:00,XRPUSD,SELL,80,2.01652,1.94407,2.07051,1.94407,WIN,3.593,5
2025-11-24 02:00:00,XRPUSD,SELL,80,2.05828,2.08432,2.08432,1.99789,LOSS,-1.2652,0
2025-11-25 02:00:00,XRPUSD,BUY,80,2.24817,2.20389,2.20389,2.33348,LOSS,-1.9696,6
2025-12-02 02:00:00,XRPUSD,BUY,80,2.01759,2.0727,1.98291,2.0727,WIN,2.7314,12
2025-12-03 02:00:00,XRPUSD,BUY,80,2.16141,2.20315,2.11479,2.20315,WIN,1.9311,3
2025-12-04 02:00:00,XRPUSD,SELL,80,2.19293,2.1541,2.22542,2.1541,WIN,1.7709,9
2025-12-05 02:00:00,XRPUSD,SELL,80,2.10546,2.05933,2.13819,2.05933,WIN,2.1911,7
2025-12-06 02:00:00,XRPUSD,BUY,80,2.03087,1.99946,1.99946,2.0796,LOSS,-1.5464,36
2025-12-15 02:00:00,XRPUSD,SELL,80,1.99916,2.0064,2.0064,1.95443,LOSS,-0.3623,0
2025-12-16 02:00:00,XRPUSD,SELL,80,1.87268,1.9112,1.9112,1.83679,LOSS,-2.057,8
2025-12-19 02:00:00,XRPUSD,SELL,80,1.78236,1.83685,1.83685,1.73443,LOSS,-3.0574,1
2025-12-20 02:00:00,XRPUSD,BUY,80,1.90267,1.94506,1.87716,1.94506,WIN,2.2279,7
2025-12-24 02:00:00,XRPUSD,BUY,80,1.87083,1.85238,1.85238,1.90198,LOSS,-0.986,0
2025-12-30 02:00:00,XRPUSD,SELL,80,1.8483,1.86691,1.86691,1.82986,LOSS,-1.0068,4
2026-01-01 02:00:00,XRPUSD,SELL,80,1.84178,1.86376,1.86376,1.82158,LOSS,-1.1931,13
2026-01-02 02:00:00,XRPUSD,BUY,80,1.87217,1.89418,1.86691,1.89418,WIN,1.1758,7
2026-01-03 02:00:00,XRPUSD,BUY,80,2.03029,2.06563,1.97666,2.06563,WIN,1.7407,26
