Date,Open,High,Low,Close
2025-10-08 08:00:00,221.02,222.71,220.79,221.72
2025-10-08 09:00:00,221.71,222.17,220.82,221.53
2025-10-08 10:00:00,221.54,222.31,221.12,222.23
2025-10-08 11:00:00,222.23,222.68,220.76,221.26
2025-10-08 12:00:00,221.27,222.6,221.19,222.35
2025-10-08 13:00:00,222.36,222.84,218.89,221.53
2025-10-08 14:00:00,221.52,224.22,219.59,220.14
2025-10-08 15:00:00,220.15,222.9,219.97,221.27
2025-10-08 16:00:00,221.27,223.77,220.76,223.65
2025-10-08 17:00:00,223.63,227.84,223.42,227.04
2025-10-08 18:00:00,227.04,229.72,226.53,228.73
2025-10-08 19:00:00,228.73,229.73,227.58,229.36
2025-10-08 20:00:00,229.36,229.77,227.44,227.73
2025-10-08 21:00:00,227.73,229.2,227.4,228.54
2025-10-08 22:00:00,228.54,229.77,228.53,228.7
2025-10-08 23:00:00,228.68,229.43,227.95,229.14
2025-10-09 00:00:00,229.1,229.73,228.04,228.4
2025-10-09 01:00:00,228.39,228.71,226.07,228.46
2025-10-09 02:00:00,228.46,228.77,223.92,224.45
2025-10-09 03:00:00,224.48,226.54,224.47,226.2
2025-10-09 04:00:00,226.22,227.61,225.51,227.54
2025-10-09 05:00:00,227.55,228.84,226.78,227.83
2025-10-09 06:00:00,227.84,228.47,226.34,226.59
2025-10-09 07:00:00,226.56,226.93,224.21,224.58
2025-10-09 08:00:00,224.57,224.87,219.39,220.03
2025-10-09 09:00:00,220.03,222.22,219.95,222.06
2025-10-09 10:00:00,222.06,223.04,221.04,222.36
2025-10-09 11:00:00,222.35,224.0,222.35,223.23
2025-10-09 12:00:00,223.23,226.41,222.99,226.06
2025-10-09 13:00:00,226.05,226.3,222.0,222.38
2025-10-09 14:00:00,222.38,223.45,219.54,220.97
2025-10-09 15:00:00,220.99,222.28,218.72,219.21
2025-10-09 16:00:00,219.21,220.22,216.75,217.37
2025-10-09 17:00:00,217.37,219.69,216.83,219.41
2025-10-09 18:00:00,219.4,219.76,217.26,217.62
2025-10-09 19:00:00,217.64,219.06,217.5,218.37
2025-10-09 20:00:00,218.39,219.38,217.7,219.03
2025-10-09 21:00:00,219.02,220.56,218.61,220.36
2025-10-09 22:00:00,220.36,221.83,219.99,221.38
2025-10-09 23:00:00,221.38,221.45,219.99,221.03
2025-10-10 00:00:00,221.03,222.12,220.85,221.35
2025-10-10 01:00:00,221.35,222.2,220.64,221.08
2025-10-10 02:00:00,221.08,221.95,219.93,220.46
2025-10-10 03:00:00,220.45,222.96,219.61,221.74
2025-10-10 04:00:00,221.73,222.98,220.94,221.31
2025-10-10 05:00:00,221.29,221.84,220.15,221.75
2025-10-10 06:00:00,221.74,222.52,219.33,219.46
2025-10-10 07:00:00,219.45,219.64,218.0,218.2
2025-10-10 08:00:00,218.19,220.12,217.45,220.08
2025-10-10 09:00:00,220.08,220.78,219.01,219.01
2025-10-10 10:00:00,219.0,220.7,218.8,220.45
2025-10-10 11:00:00,220.48,221.62,220.33,221.21
2025-10-10 12:00:00,221.21,221.85,220.82,221.81
2025-10-10 13:00:00,221.81,224.52,221.56,223.41
2025-10-10 14:00:00,223.48,224.51,219.73,219.82
2025-10-10 15:00:00,219.81,220.2,209.01,210.76
2025-10-10 16:00:00,210.76,213.13,210.02,211.35
2025-10-10 17:00:00,211.36,211.62,208.88,209.76
2025-10-10 18:00:00,209.75,210.08,207.05,207.5
2025-10-10 19:00:00,207.48,208.23,203.4,205.36
2025-10-10 20:00:00,205.36,207.88,193.06,197.05
2025-10-10 21:00:00,197.12,210.0,176.85,199.95
2025-10-10 22:00:00,200.01,200.26,189.0,190.98
2025-10-10 23:00:00,190.97,194.93,187.72,188.82
2025-10-11 00:00:00,188.83,190.98,181.0,188.39
2025-10-11 01:00:00,188.38,188.52,182.73,183.35
2025-10-11 02:00:00,183.4,191.24,183.21,188.81
2025-10-11 03:00:00,188.78,189.47,182.94,185.01
2025-10-11 04:00:00,185.05,187.2,184.27,186.53
2025-10-11 05:00:00,186.53,186.71,180.18,182.65
2025-10-11 06:00:00,182.66,186.47,182.45,183.45
2025-10-11 07:00:00,183.49,184.34,182.06,182.96
2025-10-11 08:00:00,182.99,187.5,182.24,186.79
2025-10-11 09:00:00,186.78,188.49,184.24,184.69
2025-10-11 10:00:00,184.7,186.43,183.28,184.24
2025-10-11 11:00:00,184.25,184.44,181.88,184.01
2025-10-11 12:00:00,183.99,184.9,182.0,183.34
2025-10-11 13:00:00,183.33,184.81,181.0,184.53
2025-10-11 14:00:00,184.53,185.0,181.96,182.91
2025-10-11 15:00:00,182.88,185.23,182.79,184.0
2025-10-11 16:00:00,184.0,185.0,182.06,182.9
2025-10-11 17:00:00,182.81,184.89,182.67,183.28
2025-10-11 18:00:00,183.25,183.46,182.46,182.75
2025-10-11 19:00:00,182.76,182.83,176.77,177.77
2025-10-11 20:00:00,177.75,178.36,174.19,175.76
2025-10-11 21:00:00,175.75,178.44,172.78,177.18
2025-10-11 22:00:00,177.16,178.29,176.11,177.63
2025-10-11 23:00:00,177.6,178.95,177.0,177.82
2025-10-12 00:00:00,177.83,177.94,173.17,173.49
2025-10-12 01:00:00,173.53,175.65,173.35,174.27
2025-10-12 02:00:00,174.24,176.78,173.65,174.97
2025-10-12 03:00:00,174.95,178.72,174.5,177.22
2025-10-12 04:00:00,177.23,181.44,176.8,180.28
2025-10-12 05:00:00,180.27,182.2,179.73,181.62
2025-10-12 06:00:00,181.62,182.89,181.0,182.81
2025-10-12 07:00:00,182.79,183.18,181.69,182.73
